Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual__Round 1,Actual__Rounds 2-3,Actual__Rounds 4-5,Actual__Rounds 6-7,Actual__Undrafted,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,RB,Skill,Texas,Big 12,71.0,215,9.75,31.125,74.75,4.46,37.0,20,124.0,6.77,4.26,1,1900,19.379,79.1,73.758,70.57,66.449,1,1,Round 1,1,0,0,0,0,0,0.12673126329836204,58,96.28099173553719,100.0
2023,LB,LB,Iowa,Big Ten,76.625,249,10.25,31.875,78.25,4.65,37.5,29,128.0,6.74,4.24,1,1748,7.409,67.111,21.369,88.288,70.495,0,1,Round 1,1,0,0,0,0,0,0.1238967041054897,58,96.69421487603306,100.0
2023,CB,Secondary,Alabama,SEC,71.625,190,9.5,30.75,78.125,4.58,34.5,14,125.0,6.51,4.3,1,2181,27.296,89.526,85.539,81.093,61.676,1,1,Rounds 2-3,0,1,0,0,0,0,0.12221465470561033,58,97.10743801652893,100.0
2023,EDGE,DL,Clemson,ACC,77.0,268,8.5,33.75,81.25,4.62,32.0,25,117.0,7.36,4.44,1,1843,17.553,74.958,64.744,77.07,48.641,0,1,Round 1,1,0,0,0,0,0,0.12184334146409725,58,97.52066115702479,100.0
2024,WR,Skill,Florida St.,ACC,75.25,213,9.375,32.125,78.125,4.61,38.0,15,127.0,6.84,4.1,1,1789,19.915,83.68,70.051,84.429,58.266,0,1,Rounds 2-3,0,1,0,0,0,0,0.12169984389243249,58,97.93388429752066,100.0
2025,WR,Skill,Ohio State,Big Ten,72.875,202,9.5,31.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,2211,24.823,87.333,80.443,83.601,49.523,1,1,Round 1,1,0,0,0,0,0,0.10376580098831834,58,98.34710743801654,100.0
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,76.875,4.38,41.5,14,133.0,6.89,4.26,1,1724,14.225,78.17,81.614,63.631,42.699,0,1,Round 1,1,0,0,0,0,0,0.0940821681218913,58,98.7603305785124,100.0
2025,EDGE,DL,Alabama,SEC,76.25,243,9.5,33.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,1986,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 4-5,0,0,1,0,0,0,0.09271420642742523,58,99.17355371900827,100.0
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,75.75,4.28,43.0,22,138.0,8.19,4.97,0,1855,17.338,77.097,87.084,52.889,41.286,1,1,Round 1,1,0,0,0,0,0,0.05163915185282353,58,99.58677685950413,100.0
2024,EDGE,DL,Alabama,SEC,74.75,247,9.875,34.375,83.0,4.46,40.5,23,127.0,7.39,4.31,1,2032,24.925,84.968,76.211,80.844,61.941,0,1,Round 1,1,0,0,0,0,0,0.04042553977468932,58,100.0,100.0
