Season,Player,Position,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Overall Pick,Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award
2023,Anfernee Orji,LB,Vanderbilt,SEC,73,230,10.25,32,78.125,4.53,38.5,23,122,7,4.43,300,1,1234,-6.834,39.354,42.964,37.914,55.429,0,0,0
2023,Anthony Bradford,IOL,LSU,SEC,76,332,9.5,33.5,80.375,5.08,30,20,106,7.84,4.8,108,1,1871,17.436,78.295,78.649,74.431,26.438,5.0173,0,0
2023,Anthony Johnson,CB,Virginia,ACC,72,205,8.75,31.25,75.875,4.63,30.5,15,116,6.63,4.33,242,1,1340,-3.957,36.753,28.59,56.938,29.806,2.8332,0,0
2023,Anthony Johnson Jr.,CB,Iowa St.,Big 12,72,205,8.75,31.25,75.875,4.54,37.5,18,125,6.87,4.22,242,1,1554,6.28,57.494,40.857,78.383,33.853,2.8332,0,0
2023,Anthony Richardson,QB,Florida,SEC,76.25,244,10.5,32.75,79.875,4.43,40.5,20,129,6.77,4.37,4,1,1581,7.555,60.994,69.396,49.078,49.533,5.5413,0,0
2023,Antoine Green,WR,North Carolina,ACC,73.75,199,9,32.125,76.75,4.47,33.5,17,123,6.99,4.27,219,1,1559,6.195,60.099,78.452,30.968,61.95,3.6889,0,0
2023,Anton Harrison,OT,Oklahoma,Big 12,76.375,315,9.75,34.125,80.75,4.98,28.5,20,105,7.61,4.68,27,1,1662,9.969,66.271,71.907,54.872,48.16,5.4467,0,0
2023,Paris Johnson Jr.,OT,Ohio St.,Big Ten,78.375,313,9.5,36.125,85.125,5.14,30.5,20,110,7.6,4.68,6,1,2107,25.771,88.337,91.467,71.506,49.437,5.5334,0,1
2023,Parker Washington,WR,Penn St.,Big Ten,70,204,10.125,29,72,4.52,35.5,16,123,6.94,4.29,185,1,2000,19.477,82.964,71.335,83.462,50.595,4.3041,0,0
2023,Payne Durham,TE,Purdue,Big Ten,77.625,253,9.75,33.375,80.375,4.87,34.5,21,117,7.42,4.26,171,1,1460,4.283,58.947,63.872,51.004,46.438,4.4773,0,0
2023,Peter Skoronski,OT,Northwestern,Big Ten,76,313,10,32.25,79.5,5.16,34.5,20,115,7.8,4.68,11,1,1257,-7.588,30.34,26.742,42.636,51.301,5.5134,0,1
2023,Puka Nacua,WR,BYU,FBS Independent,74,201,9.5,32.125,74.875,4.5,36.5,17,126,6.94,4.29,177,0,1526,0.819,50.481,70.378,34.793,40.904,4.4067,0,0
2023,Quentin Johnston,WR,TCU,Big 12,75,208,9.625,33.625,81.625,4.51,40.5,18,134,6.95,4.29,21,1,1729,14.378,80.5,80.39,69.518,54.974,5.4723,0,1
2023,Rakim Jarrett,WR,Maryland,Big Ten,71.875,192,9.375,31.375,75.875,4.44,35.5,13,123,6.93,4.29,300,1,1645,7.842,61.934,61.039,57.849,51.968,0,0,0
2023,Rashad Torrence II,CB,Florida,SEC,71.625,193,10,32,77.625,4.72,33.5,20,119,7.08,4.54,300,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,0
2023,Bryce Young,QB,Alabama,SEC,70.125,204,9.75,30.125,73.5,4.6,33.5,20,118,7.07,4.34,1,0,2181,27.296,89.526,85.539,81.093,61.676,5.553,1,0
2023,Byron Young,DL,Alabama,SEC,74.375,250,9.25,32.5,79.125,5,26,24,108,7.68,4.9,70,1,2181,27.296,89.526,85.539,81.093,61.676,5.2417,1,0
2023,Byron Young,EDGE,Tennessee,SEC,74.375,250,9.25,32.5,79.125,4.43,38,22,132,7.19,4.45,77,1,2000,22.728,84.959,90.062,58.984,68.61,5.204,0,0
2023,C.J. Stroud,QB,Ohio St.,Big Ten,75,214,10,32.625,77.375,4.59,34.5,20,119,7.09,4.35,2,0,2107,25.771,88.337,91.467,71.506,49.437,5.5491,0,1
2023,CJ Johnson,WR,East Carolina,AAC,73.5,224,10.25,32,78.5,4.56,36,20,125,6.96,4.29,300,0,1509,1.775,54.675,70.734,39.058,37.309,0,0,0
2023,Caleb Murphy,EDGE,Ferris St.,GLIAC,75.25,254,10.25,32.75,79.25,4.81,28.5,23,119,7.28,4.45,300,1,1678,8.101,62.601,56.057,63.505,52.58,0,0,0
2023,Owen Pappoe,LB,Auburn,SEC,72.25,225,9.125,31.75,78,4.39,35.5,29,126,7.44,4.38,168,1,1596,6.205,55.022,47.067,62.103,45.36,4.5109,0,0
2023,PJ Mustipher,DL,Penn St.,Big Ten,75.875,320,9,32.75,79.375,5.41,27.5,19,96,8.01,5.03,300,1,2000,19.477,82.964,71.335,83.462,50.595,0,0,0
2023,Brent Laing,IOL,Duluth/University of Minnesota,NSIC,76,304,9.75,32.375,78.75,5.2,29,20,109,7.77,4.75,300,0,1819,14.599,74.563,74.162,65.921,50.606,0,0,0
2023,Brenton Cox,EDGE,Florida,SEC,75.875,250,9.25,33.125,80.75,4.82,33,24,115,7.22,4.44,300,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,0
2023,Brenton Strange,TE,Penn St.,Big Ten,75.875,253,9.625,31.125,75.125,4.7,36,23,124,7.25,4.46,61,1,2000,19.477,82.964,71.335,83.462,50.595,5.2883,0,0
2023,Brian Branch,CB,Alabama,SEC,71.625,190,9.5,30.75,78.125,4.58,34.5,14,125,6.51,4.3,45,1,2181,27.296,89.526,85.539,81.093,61.676,5.366,1,1
2023,Broderick Jones,OT,Georgia,SEC,77.375,311,10.625,34.75,82.75,4.97,30,20,108,7.6,4.69,14,1,2300,29.908,93.511,90.791,87.647,45.406,5.5013,0,0
2023,Bryan Bresee,DL,Clemson,ACC,77.5,298,10.25,32.5,78.125,4.86,29,22,110,7.57,4.82,29,1,1843,17.553,74.958,64.744,77.07,48.641,5.4381,0,1
2023,Bryce Baringer,P,Michigan St.,Big Ten,74,216,9,30.5,76.625,4.83,34,20,109,7.27,4.44,192,0,1550,5.288,53.037,58.461,44.648,57.731,4.2047,0,0
2023,Bryce Ford-Wheaton,WR,West Virginia,Big 12,76,221,9.375,33.5,82.25,4.38,41,20,129,6.97,4.15,300,1,1408,4.097,56.578,60.693,43.999,64.27,0,0,0
2023,Riley Moss,CB,Iowa,Big Ten,72.625,193,9.5,30,74.125,4.45,39,12,127,6.68,4.29,83,1,1748,7.409,67.111,21.369,88.288,70.495,5.1705,0,0
2023,Robert Beal,EDGE,Georgia,SEC,75.75,247,10.125,34.625,82.25,4.48,30,23,123,7.35,4.45,173,1,2300,29.908,93.511,90.791,87.647,45.406,4.4543,0,0
2023,Ronnie Bell,WR,Michigan,Big Ten,71.625,191,9.5,31,75,4.54,38.5,14,120,6.98,4.15,253,1,2124,23.62,85.085,79.485,79.2,57.128,1.7918,1,0
2023,Ronnie Hickman,CB,Ohio St.,Big Ten,72.5,203,9.375,33,78,4.55,36,18,123,6.93,4.26,300,0,2107,25.771,88.337,91.467,71.506,49.437,0,0,0
2023,Roschon Johnson,RB,Texas,Big 12,72.25,219,9.625,32,76.875,4.58,31.5,20,122,7.01,4.48,115,1,1900,19.379,79.1,73.758,70.57,66.449,4.9698,1,0
2023,Ryan Hayes,OT,Michigan,Big Ten,78.375,298,10,32.5,79,5.18,30,20,103,7.39,4.71,238,1,2124,23.62,85.085,79.485,79.2,57.128,3.0445,1,0
2023,SaRodorick Thompson,RB,Texas Tech,Big 12,71.5,207,9,31.625,77,4.67,32.5,20,120,7.25,4.7,300,1,1633,8.326,62.028,54.883,65.417,48.646,0,0,0
2023,Sam LaPorta,TE,Iowa,Big Ten,75.25,245,10.25,32.125,77.5,4.59,35,21,123,6.91,4.25,34,1,1748,7.409,67.111,21.369,88.288,70.495,5.4161,0,0
2023,Noah Gindorff,TE,North Dakota St.,MVFC,78,263,10,33.125,80.25,4.68,32.5,16,118,6.75,4.21,300,1,1680,7.754,60.973,54.304,61.168,58.663,0,0,0
2023,Noah Sewell,LB,Oregon,Pac-12,73.5,246,10,31.625,76.375,4.64,33,27,115,7.44,4.39,148,1,1724,14.225,78.17,81.614,63.631,42.699,4.7095,0,0
2023,Noah Taylor,EDGE,North Carolina,ACC,76,238,8.625,32.625,78.875,4.61,34.5,22,123,7.22,4.45,300,1,1559,6.195,60.099,78.452,30.968,61.95,0,0,0
2023,Nolan Smith,EDGE,Georgia,SEC,74.25,238,9,32.625,81,4.39,41.5,23,128,7,4.45,30,1,2300,29.908,93.511,90.791,87.647,45.406,5.4337,0,0
2023,O'Cyrus Torrence,IOL,Florida,SEC,77,330,11.25,33.875,83.875,5.31,23.5,20,101,7.99,4.81,59,1,1581,7.555,60.994,69.396,49.078,49.533,5.2983,0,0
2023,Ochaun Mathis,EDGE,Nebraska,Big Ten,76.75,250,10.75,35.25,83.375,4.74,33.5,21,118,7.18,4.38,189,1,1532,-0.651,40.694,43.713,40.707,51.926,4.2485,0,0
2023,Olusegun Oluwatimi,C,Michigan,Big Ten,74.5,309,8.625,32.75,80.25,5.38,29,20,110,7.76,4.43,154,1,2124,23.62,85.085,79.485,79.2,57.128,4.654,1,1
2023,Micah Baskerville,LB,LSU,SEC,72.5,221,9.625,31.25,77.875,4.56,31,18,115,7.44,4.44,300,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,0
2023,Chase Brown,RB,Illinois,Big Ten,69.5,209,10,31,75.125,4.43,40,20,127,6.64,4.14,163,1,1749,9.857,68.781,50.92,80.746,45.222,4.5643,0,1
2023,Nathaniel Dell,WR,Houston,AAC,68.375,165,8.625,30.5,74.25,4.49,34.5,11,121,6.9,4.29,69,1,1619,4.061,51.527,62.603,38.496,54.875,5.247,0,0
2023,Nesta Jade Silvera,DL,Arizona St.,Pac-12,74,304,9.875,32.875,78.625,5.16,29.5,25,110,7.59,4.72,231,1,1446,-2.18,40.12,53.327,35.286,38.32,3.3322,0,0
2023,Nic Jones,CB,Ball St.,MAC,72,189,10,32.375,76.75,4.51,34.5,13,122,6.51,4.34,250,1,1290,-13.093,29.859,23.715,42.804,52.95,2.1972,0,0
2023,Nick Broeker,IOL,Mississippi,SEC,76,305,9.75,32.5,76.625,5.27,29,20,108,7.75,4.7,230,1,1634,12.342,68.271,72.487,57.125,45.454,3.3673,0,0
2023,Nick Hampton,EDGE,Appalachian St.,Sun Belt,74.25,236,9.5,33.625,80.625,4.58,35.5,23,120,7.07,4.45,161,1,1593,0.411,45.95,62.053,35.887,34.024,4.585,0,0
2023,Nick Herbig,EDGE,Wisconsin,Big Ten,74.125,240,9.25,31.25,76,4.65,34.5,25,124,7.24,4.45,132,1,1706,8.148,60.996,54.436,68.136,36.997,4.8442,0,0
2023,Nick Saldiveri,IOL,Old Dominion,Sun Belt,78.25,318,10.25,33.25,81.25,5.21,31,20,111,7.57,4.69,103,1,1314,-10.538,30.819,27.542,38.624,55.322,5.0499,0,0
2023,Camerun Peoples,RB,Appalachian St.,Sun Belt,73.375,217,9.75,32.625,78.625,4.61,37,20,121,6.85,4.33,300,1,1593,0.411,45.95,62.053,35.887,34.024,0,0,0
2023,Carrington Valentine,CB,Kentucky,SEC,72,193,9.25,32.25,76,4.44,39,9,128,6.98,4.29,232,1,1606,5.824,59.284,46.761,72.541,34.773,3.2958,0,0
2023,Carter Warren,OT,Pittsburgh,ACC,77.5,311,9.125,35.375,84.5,5.15,30,20,108,7.6,4.69,120,0,1687,7.918,61.732,46.268,72.6,50.534,4.9345,0,0
2023,Cedric Tillman,WR,Tennessee,SEC,75.375,213,10,32.75,79.25,4.54,37,19,128,6.95,4.29,74,1,2000,22.728,84.959,90.062,58.984,68.61,5.2204,0,0
2023,Chad Ryland,K,Maryland,Big Ten,72,190,9.375,30.125,74.625,4.58,34,20,121,7.27,4.44,112,0,1645,7.842,61.934,61.039,57.849,51.968,4.9904,0,0
2023,Chamarri Conner,CB,Virginia Tech,ACC,72,202,9,31.375,76.125,4.51,40.5,20,125,6.84,4.34,119,1,1318,-6.192,40.884,32.207,52.101,52.55,4.9416,0,0
2023,Charlie Jones,WR,Purdue,Big Ten,71.375,175,9,31.625,74,4.43,36.5,13,124,6.91,4.29,131,1,1460,4.283,58.947,63.872,51.004,46.438,4.852,0,0
2023,Charlie Thomas,LB,Georgia Tech,ACC,75,216,8.5,31.5,77.25,4.52,32.5,18,124,7.09,4.34,300,1,1272,-3.476,46.573,34.944,66.413,25.201,0,0,0
2023,Rashee Rice,WR,SMU,AAC,73,204,9.5,32.75,77.375,4.51,41,17,128,6.94,4.29,55,1,1504,2.267,56.034,67.613,41.499,46.125,5.3181,0,0
2023,Calijah Kancey,DL,Pittsburgh,ACC,73,281,9.125,30.625,72.75,4.67,30.5,23,114,7.48,4.54,19,1,1687,7.918,61.732,46.268,72.6,50.534,5.4806,0,0
2023,Cam Jones,LB,Indiana,Big Ten,73,226,9.5,31.25,77.125,4.69,33,17,119,7.08,4.39,300,1,1332,-4.19,40.502,37.086,46.875,51.176,0,0,0
2023,Cam Smith,CB,South Carolina,SEC,72.75,180,9.125,31.625,76.125,4.43,38,14,134,6.51,4.26,51,1,1620,4.416,61.258,58.008,49.932,79.756,5.3375,0,0
2023,Cameron Brown,CB,Ohio St.,Big Ten,72,199,9,31,75.875,4.47,36.5,14,126,6.9,4.29,300,0,2107,25.771,88.337,91.467,71.506,49.437,0,0,0
2023,Cameron Latu,TE,Alabama,SEC,76,242,9.5,32.375,79.125,4.67,35.5,21,120,7.36,4.32,101,0,2181,27.296,89.526,85.539,81.093,61.676,5.0626,1,0
2023,Cameron Mitchell,CB,Northwestern,Big Ten,70.75,191,9.75,31.375,76.125,4.47,35,15,128,6.51,4.29,142,1,1257,-7.588,30.34,26.742,42.636,51.301,4.7622,0,0
2023,Cameron Young,DL,Mississippi St.,SEC,75,304,10,34.5,82,5.1,29.5,24,109,7.6,4.79,123,1,1694,13.237,75.362,59.938,76.598,66.986,4.9127,0,0
2023,Matthew Brooks,P,Tennessee,SEC,77.25,201,9.75,31.5,78.75,4.83,34,20,109,7.27,4.44,300,0,2000,22.728,84.959,90.062,58.984,68.61,0,0,0
2023,Max Duggan,QB,TCU,Big 12,73.5,207,9.875,31.375,73.375,4.52,30.5,20,116,7.26,4.45,239,1,1729,14.378,80.5,80.39,69.518,54.974,2.9957,0,1
2023,Mazi Smith,DL,Michigan,Big Ten,75,323,9.75,33.75,80.875,5.16,31,34,110,7.67,4.91,26,1,2124,23.62,85.085,79.485,79.2,57.128,5.451,1,0
2023,McClendon Curtis,IOL,Tennessee-Chattanooga,SoCon,78,324,10.25,35,83.875,5.24,26.5,20,105,7.7,4.97,300,1,1738,11.336,69.68,68.952,64.29,44.371,0,0,0
2023,Mekhi Blackmon,CB,USC,Pac-12,71,178,9.25,31,75.625,4.47,36,11,125,6.51,4.31,102,1,1745,13.164,77.414,90.693,44.38,43.862,5.0562,0,0
2023,Mekhi Garner,CB,LSU,SEC,74,212,10.125,32.25,78,4.55,38,15,128,7.21,4.27,300,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,0
2023,Lonnie Phelps,EDGE,Kansas,Big 12,74.375,244,9.25,32.375,75.375,4.55,35,31,124,7.4,4.46,300,1,1373,3.37,60.21,82.028,38.063,37.048,0,0,0
2023,Lukas Van Ness,EDGE,Iowa,Big Ten,77,272,11,34,81.75,4.58,31,17,118,7.02,4.32,13,1,1748,7.409,67.111,21.369,88.288,70.495,5.5053,0,0
2023,Cody Mauch,OT,North Dakota St.,MVFC,77,302,9.75,32.375,78.875,5.08,29,20,108,7.33,4.55,48,1,1776,13.063,70.241,71.713,63.684,48.531,5.3519,0,0
2023,Colby Wooden,EDGE,Auburn,SEC,76,273,10.375,33.75,80.375,4.79,31.5,23,115,7.5,4.52,116,1,1596,6.205,55.022,47.067,62.103,45.36,4.9628,0,0
2023,Connor Galvin,OT,Baylor,Big 12,78.625,293,9,32.375,78.375,5.48,30.5,20,104,8,4.92,300,1,1672,9.044,61.65,66.688,55.36,37.032,0,0,0
2023,Cory Trice,CB,Purdue,Big Ten,75.375,206,9.75,32.375,77,4.47,35.5,17,132,6.6,4.26,241,1,1460,4.283,58.947,63.872,51.004,46.438,2.8904,0,0
2023,Mark Evans II,OT,University of Arkansas at Pine Bluff,SWAC,74.5,303,10.375,32.375,79,5.44,26.5,20,101,7.75,4.92,300,1,1729,10.64,68.075,70.379,59.863,50.935,0,0,0
2023,Marvin Mims,WR,Oklahoma,Big 12,70.875,183,9,31.625,74.75,4.38,39.5,14,129,6.9,4.29,63,1,1662,9.969,66.271,71.907,54.872,48.16,5.2781,0,0
2023,Matt Landers,WR,Arkansas,SEC,76.375,200,9.25,32.5,79.125,4.37,37,17,130,6.94,4.29,300,1,1686,6.93,62.299,69.2,48.112,56.255,0,0,0
2023,Matthew Bergeron,OT,Syracuse,ACC,77,318,9.5,33.75,81.875,5.21,30.5,20,103,7.61,4.68,38,1,1464,5.084,59.708,56.419,61.005,44.497,5.3982,0,0
2023,Myles Brooks,CB,Louisiana Tech,Conference USA,73,201,9.5,30.75,74.5,4.48,36.5,14,126,6.88,4.29,300,0,1127,-13.24,24.019,35.013,22.977,46.695,0,0,0
2023,Myles Murphy,EDGE,Clemson,ACC,77,268,8.5,33.75,81.25,4.62,32,25,117,7.36,4.44,28,1,1843,17.553,74.958,64.744,77.07,48.641,5.4424,0,1
