Position Group,Rows,CV Accuracy Mean,CV Accuracy Std,Test Accuracy,Average Ordinal Error
Skill,325,2.430769230769231e-01,0.051853229373392984,0.2073170731707317,1.0853658536585367
Secondary,182,0.2966966966966967,0.05900614347855192,0.2826086956521739,0.9347826086956522
DL,191,0.3033738191632928,0.05207603266921973,0.20833333333333334,1.3333333333333333
OL,171,0.25176470588235295,0.08094596429068035,0.2558139534883721,1.1627906976744187
LB,78,0.35897435897435903,0.07903094875601253,0.3,1.1
